以下是根据您提出的优化需求编写的全场景功能测试用例，覆盖【工具来源】下拉框和【文件上传能力增强】两大模块。

---

### 一、工具来源下拉框功能用例

**关联页面：** 添加文件页面  
**对齐页面：** URL 链接添加页面  
**字段名：** 工具来源  
**选项：** 自研、第三方  
**交互规则：** 必填，未选择时阻断提交并提示“请选择工具来源”

| 用例编号 | 用例标题 | 前置条件 | 测试步骤 | 预期结果 |
|--------|---------|---------|---------|---------|
| TC-SRC-001 | 添加文件页面【工具来源】下拉框布局与样式校验 | 用户已登录，进入添加文件页面 | 1. 打开添加文件页面<br>2. 观察页面布局，找到【工具来源】字段 | 1. 【工具来源】字段存在，位于表单中，与URL链接添加页面的位置、样式、布局完全一致<br>2. 字段标签显示为“工具来源 *”（带必填标识）<br>3. 下拉框默认展示占位提示文案（如“请选择工具来源”） |
| TC-SRC-002 | 下拉选项值校验 | 进入添加文件页面 | 1. 点击【工具来源】下拉框<br>2. 查看下拉列表选项 | 下拉列表仅包含两个选项：“自研”、“第三方”，无多余选项 |
| TC-SRC-003 | 选择“自研”选项 | 进入添加文件页面 | 1. 下拉框选择“自研”<br>2. 填写其他必填字段<br>3. 点击提交 | 1. 可成功选中“自研”<br>2. 提交成功，无校验拦截<br>3. 接口请求参数中包含`toolSource: "自研"`（或与URL页面参数名一致） |
| TC-SRC-004 | 选择“第三方”选项 | 进入添加文件页面 | 1. 下拉框选择“第三方”<br>2. 填写其他必填字段<br>3. 点击提交 | 1. 可成功选中“第三方”<br>2. 提交成功<br>3. 接口请求参数中包含`toolSource: "第三方"` |
| TC-SRC-005 | 不选择工具来源直接提交 | 进入添加文件页面，未操作下拉框 | 1. 保持【工具来源】为空<br>2. 填写其他必填字段<br>3. 点击提交按钮 | 1. 页面顶部或字段下方出现红色错误提示：“请选择工具来源”<br>2. 提交被阻断，表单不发送请求<br>3. 下拉框获得焦点或高亮为错误状态 |
| TC-SRC-006 | 先选择来源再切换为空（若支持清空） | 下拉组件支持clear或选择占位项 | 1. 选择“自研”<br>2. 清空选项/选择占位项（如“请选择”）<br>3. 点击提交 | 1. 出现校验提示“请选择工具来源”<br>2. 提交被阻断 |
| TC-SRC-007 | 工具来源字段与后端参数对齐 | 已准备好抓包工具或查看接口 | 1. 选择“自研”后提交<br>2. 查看提交的请求体<br>3. 改为选择“第三方”后再次提交查看 | 两次请求中，与工具来源对应的字段名和值分别为`toolSource: "自研"`和`toolSource: "第三方"`，与URL链接页面的参数名完全一致，后端能正确解析 |
| TC-SRC-008 | 工具来源选项顺序固定 | 进入添加文件页面 | 多次刷新页面，点击下拉框查看选项顺序 | 选项始终为“自研”在上，“第三方”在下，不随交互变化 |
| TC-SRC-009 | 与其他必填项联动校验 | 进入页面，部分必填项未填 | 1. 不选择工具来源<br>2. 其他必填项也不填写<br>3. 点击提交 | 同时提示所有未填必填项的校验信息，其中包含“请选择工具来源” |
| TC-SRC-010 | 键盘操作可访问性 | 进入页面 | 1. 使用Tab键移动焦点到工具来源下拉框<br>2. 使用方向键选择“自研”或“第三方”<br>3. 按下Enter确认 | 完全支持键盘操作，选中值正常，无焦点丢失或异常 |
| TC-SRC-011 | 查看元素禁用/只读状态 | 已添加文件记录的详情/编辑页（若有） | 进入编辑已添加的文件页面 | 如果URL页面该字段在编辑时表现一致，则工具来源下拉框应根据业务规则确定是否可编辑；如果不可编辑，应置灰 |
| TC-SRC-012 | 页面切换不影响已选值 | 添加文件页面 | 1. 选择“第三方”<br>2. 切换到其他页面再通过浏览器后退按钮返回 | 下拉框仍保持之前选择的“第三方”（若产品要求保留填写状态） |

---

### 二、文件上传功能增强用例

**背景：** 取消文件格式限制，支持任意格式；支持文件夹上传，保留目录结构；支持单文件、多文件、文件夹及混合上传；上传交互与系统现有通用上传组件统一。

#### 2.1 文件格式放开

| 用例编号 | 用例标题 | 前置条件 | 测试步骤 | 预期结果 |
|--------|---------|---------|---------|---------|
| TC-FILE-001 | 上传.py文件 | 准备一个有效的.py文件 | 1. 点击上传按钮<br>2. 选择.py文件上传 | 文件上传成功，无“不支持的文件格式”提示，进度条正常，完成后显示在文件列表中 |
| TC-FILE-002 | 上传.sh文件 | 准备.sh脚本 | 选择.sh文件上传 | 上传成功，无拦截 |
| TC-FILE-003 | 上传.zip压缩包 | 准备.zip文件 | 选择.zip上传 | 上传成功 |
| TC-FILE-004 | 上传.rar压缩包 | 准备.rar文件 | 选择.rar上传 | 上传成功 |
| TC-FILE-005 | 上传.exe可执行文件 | 准备.exe文件（安全测试用） | 选择.exe上传 | 上传成功，前端不拦截 |
| TC-FILE-006 | 上传.md文档 | 准备.md文件 | 选择.md上传 | 上传成功 |
| TC-FILE-007 | 上传.java源代码 | 准备.java文件 | 选择.java上传 | 上传成功 |
| TC-FILE-008 | 上传.js脚本 | 准备.js文件 | 选择.js上传 | 上传成功 |
| TC-FILE-009 | 上传无后缀名文件 | 准备一个无后缀的文件 | 选择该文件上传 | 上传成功，不因无后缀拦截 |
| TC-FILE-010 | 上传不常见格式（如.psd、.ai） | 准备相关文件 | 选择.psd或.ai文件 | 上传成功 |
| TC-FILE-011 | 上传超大文件（边界值） | 根据系统配置的最大文件大小，准备接近上限的文件 | 上传接近上限大小的文件 | 若在限制内，上传成功；若超出，给出明确的文件过大提示，而非格式错误提示 |
| TC-FILE-012 | 上传0字节文件 | 准备一个空文件 | 上传空文件 | 前端根据业务规则处理：若允许，则上传成功；若不允许，提示“文件不能为空”，但不是格式拦截 |
| TC-FILE-013 | 拖拽上传任意格式文件 | 准备好多种格式文件 | 从文件管理器拖拽一个.ppt文件到上传区域 | 正常识别并上传，无格式拦截 |
| TC-FILE-014 | 后端取消黑名单校验 | 上传一个之前被拦截的文件类型(如.zip) | 上传该文件，同时监控后端日志或响应 | 后端不返回文件类型不允许的错误，文件成功存储 |

#### 2.2 单文件上传

| 用例编号 | 用例标题 | 前置条件 | 测试步骤 | 预期结果 |
|--------|---------|---------|---------|---------|
| TC-SINGLE-001 | 点击按钮选择单个文件上传 | 页面正常 | 1. 点击上传区域或按钮<br>2. 在弹出的文件选择框中选择一个文件<br>3. 确认上传 | 文件出现上传进度，完成后文件列表显示该文件，包含文件名、大小等信息 |
| TC-SINGLE-002 | 拖拽单个文件到上传区 | 打开文件管理器 | 拖拽一个文件到上传区域松开 | 文件自动开始上传，交互与点击上传一致 |
| TC-SINGLE-003 | 上传过程中取消 | 开始上传一个较大文件 | 点击进度条旁的取消按钮或“×” | 上传取消，已上传的部分被清理，文件列表中不出现该文件 |
| TC-SINGLE-004 | 单个文件上传成功后再次上传同名文件 | 已上传文件A.txt | 再次上传同名文件A.txt | 根据系统策略：覆盖提示或自动重命名，需与通用组件行为一致。如有提示，应明确询问是否覆盖 |
| TC-SINGLE-005 | 上传时网络断开 | 开始上传后断网 | 在上传过程中断开网络 | 上传失败，显示网络错误提示，并支持重试按钮 |

#### 2.3 多文件上传

| 用例编号 | 用例标题 | 前置条件 | 测试步骤 | 预期结果 |
|--------|---------|---------|---------|---------|
| TC-MULTI-001 | 点击上传选择多个文件 | 页面正常 | 1. 点击上传<br>2. 在文件选择框中使用Ctrl/Command或Shift键选择多个不相关文件<br>3. 确认 | 所有文件依次上传，每个文件有独立进度，全部上传后均显示在列表中 |
| TC-MULTI-002 | 拖拽多个文件到上传区 | 资源管理器中选择多个文件 | 拖拽多个文件到上传区域 | 识别所有文件并依次上传，列表正确展示 |
| TC-MULTI-003 | 多文件并发上传限制 | 选择50个文件 | 观察上传行为 | 如果通用组件有并发数控制（如上3个），则同时上传3个，其余排队；上传组件交互与通用组件一致 |
| TC-MULTI-004 | 多文件中部分上传失败 | 设置其中某个文件为不可读或模拟后端失败 | 上传包含正常和会失败的文件 | 正常文件上传成功；失败文件显示失败状态及原因，并提供单独重试入口 |
| TC-MULTI-005 | 全部文件重试 | 多文件全部因网络原因失败 | 点击“全部重试”按钮（若通用组件支持） | 重新上传所有失败文件，重试操作符合通用组件规范 |
| TC-MULTI-006 | 上传过程中删除某个待上传文件 | 多文件排队中 | 在某个文件等待上传或上传中，点其右侧删除按钮 | 该文件被移除，不会上传，其他文件不受影响 |

#### 2.4 文件夹上传

